# ISO 3166-1 alpha-2 country bounding boxes, used only to disambiguate WKT axis order
# (lat lon vs lon lat) during farmer geo data import. Source: public Natural Earth derived
# data (github.com/sandstrom/country-bounding-boxes). Countries absent from this file simply
# get no disambiguation - the importer then keeps the documented "lat lon" reading.
iso2,minLat,minLon,maxLat,maxLon
AE,22.5,51.58,26.06,56.4
AF,29.32,60.53,38.49,75.16
AL,39.62,19.3,42.69,21.02
AM,38.74,43.58,41.25,46.51
AO,-17.93,11.64,-4.44,24.08
AQ,-90.0,-180.0,-63.27,180.0
AR,-55.25,-73.42,-21.83,-53.63
AT,46.43,9.48,49.04,16.98
AU,-43.63,113.34,-10.67,153.57
AZ,38.27,44.79,41.86,50.39
BA,42.65,15.75,45.23,19.6
BD,20.67,88.08,26.45,92.67
BE,49.53,2.51,51.48,6.16
BF,9.61,-5.47,15.12,2.18
BG,41.23,22.38,44.23,28.56
BI,-4.5,29.02,-2.35,30.75
BJ,6.14,0.77,12.24,3.8
BN,4.01,114.2,5.45,115.45
BO,-22.87,-69.59,-9.76,-57.5
BR,-33.77,-73.99,5.24,-34.73
BS,23.71,-78.98,27.04,-77.0
BT,26.72,88.81,28.3,92.1
BW,-26.83,19.9,-17.66,29.43
BY,51.32,23.2,56.17,32.69
BZ,15.89,-89.23,18.5,-88.11
CA,41.68,-141.0,73.23,-52.65
CD,-13.26,12.18,5.26,31.17
CF,2.27,14.46,11.14,27.37
CG,-5.04,11.09,3.73,18.45
CH,45.78,6.02,47.83,10.44
CI,4.34,-8.6,10.52,-2.56
CL,-55.61,-75.64,-17.58,-66.96
CM,1.73,8.49,12.86,16.01
CN,18.2,73.68,53.46,135.03
CO,-4.3,-78.99,12.44,-66.88
CR,8.23,-85.94,11.22,-82.55
CU,19.86,-84.97,23.19,-74.18
CY,34.57,32.26,35.17,34.0
CZ,48.56,12.24,51.12,18.85
DE,47.3,5.99,54.98,15.02
DJ,10.93,41.66,12.7,43.32
DK,54.8,8.09,57.73,12.69
DO,17.6,-71.95,19.88,-68.32
DZ,19.06,-8.68,37.12,12.0
EC,-4.96,-80.97,1.38,-75.23
EE,57.47,23.34,59.61,28.13
EG,22.0,24.7,31.59,36.87
ER,12.46,36.32,18.0,43.08
ES,35.95,-9.39,43.75,3.04
ET,3.42,32.95,14.96,47.79
FI,59.85,20.65,70.16,31.52
FJ,-18.29,-180.0,-16.02,180.0
FK,-52.3,-61.2,-51.1,-57.75
FR,42.5,-5.0,51.15,9.56
GA,-3.98,8.8,2.33,14.43
GB,49.96,-7.57,58.64,1.68
GE,41.06,39.96,43.55,46.64
GH,4.71,-3.24,11.1,1.06
GL,60.04,-73.3,83.65,-12.21
GM,13.13,-16.84,13.88,-13.84
GN,7.31,-15.13,12.59,-7.83
GQ,1.01,9.31,2.28,11.29
GR,34.92,20.15,41.83,26.6
GT,13.74,-92.23,17.82,-88.23
GW,11.04,-16.68,12.63,-13.7
GY,1.27,-61.41,8.37,-56.54
HN,12.98,-89.35,16.01,-83.15
HR,42.48,13.66,46.5,19.39
HT,18.03,-74.46,19.92,-71.62
HU,45.76,16.2,48.62,22.71
ID,-10.36,95.29,5.48,141.03
IE,51.67,-9.98,55.13,-6.03
IL,29.5,34.27,33.28,35.84
IN,7.97,68.18,35.49,97.4
IQ,29.1,38.79,37.39,48.57
IR,25.08,44.11,39.71,63.32
IS,63.5,-24.33,66.53,-13.61
IT,36.62,6.75,47.12,18.48
JM,17.7,-78.34,18.52,-76.2
JO,29.2,34.92,33.38,39.2
JP,31.03,129.41,45.55,145.54
KE,-4.68,33.89,5.51,41.86
KG,39.28,69.46,43.3,80.26
KH,10.49,102.35,14.57,107.61
KP,37.67,124.27,42.99,130.78
KR,34.39,126.12,38.61,129.47
KW,28.53,46.57,30.06,48.42
KZ,40.66,46.47,55.39,87.36
LA,13.88,100.12,22.46,107.56
LB,33.09,35.13,34.64,36.61
LK,5.97,79.7,9.82,81.79
LR,4.36,-11.44,8.54,-7.54
LS,-30.65,27.0,-28.65,29.33
LT,53.91,21.06,56.37,26.59
LU,49.44,5.67,50.13,6.24
LV,55.62,21.06,57.97,28.18
LY,19.58,9.32,33.14,25.16
MA,21.42,-17.02,35.76,-1.12
MD,45.49,26.62,48.47,30.02
ME,41.88,18.45,43.52,20.34
MG,-25.6,43.25,-12.04,50.48
MK,40.84,20.46,42.32,22.95
ML,10.1,-12.17,24.97,4.27
MM,9.93,92.3,28.34,101.18
MN,41.6,87.75,52.05,119.77
MR,14.62,-17.06,27.4,-4.92
MW,-16.8,32.69,-9.23,35.77
MX,14.54,-117.13,32.72,-86.81
MY,0.77,100.09,6.93,119.18
MZ,-26.74,30.18,-10.32,40.78
NA,-29.05,11.73,-16.94,25.08
NC,-22.4,164.03,-20.11,167.12
NE,11.66,0.3,23.47,15.9
NG,4.24,2.69,13.87,14.58
NI,10.73,-87.67,15.02,-83.15
NL,50.8,3.31,53.51,7.09
NO,58.08,4.99,70.92,31.29
NP,26.4,80.09,30.42,88.17
NZ,-46.64,166.51,-34.45,178.52
OM,16.65,52.0,26.4,59.81
PA,7.22,-82.97,9.61,-77.24
PE,-18.35,-81.41,-0.06,-68.67
PG,-10.65,141.0,-2.5,156.02
PH,5.58,117.17,18.51,126.54
PK,23.69,60.87,37.13,77.84
PL,49.03,14.07,54.85,24.03
PR,17.95,-67.24,18.52,-65.59
PS,31.35,34.93,32.53,35.55
PT,36.84,-9.53,42.28,-6.39
PY,-27.55,-62.69,-19.34,-54.29
QA,24.56,50.74,26.11,51.61
RO,43.69,20.22,48.22,29.63
RS,42.25,18.83,46.17,22.99
RU,41.15,-180.0,81.25,180.0
